"","checking_status0<=X<200","checking_status>=200","checking_statusno checking","duration","credit_historyall paid","credit_historyexisting paid","credit_historydelayed previously","credit_historycritical/other existing credit","purposeused car","purposefurniture/equipment","purposeradio/tv","purposeeducation","purposebusiness","purposeother","log_credit_amount","savings_status100<=X<500","savings_status500<=X<1000","savings_status>=1000","savings_statusno known savings","employment<1","employment1<=X<4","employment4<=X<7","employment>=7","installment_commitment","personal_statusfemale div/dep/mar","personal_statusmale single","personal_statusmale mar/wid","other_partiesco applicant","other_partiesguarantor","residence_since","property_magnitudelife insurance","property_magnitudecar","property_magnitudeno known property","age","other_payment_plansstores","other_payment_plansnone","housingown","housingfor free","existing_credits","jobunskilled resident","jobskilled","jobhigh qualif/self emp/mgmt","num_dependents","own_telephoneyes"
"1",0,0,0,0.0294117647058824,0,0,0,1,0,0,1,0,0,0,0.358711978790092,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0.857142857142857,0,1,1,0,0.333333333333333,0,1,0,0,1
"2",1,0,0,0.382352941176471,0,0,0,1,0,0,0,0,0,0,0.707327110663733,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.333333333333333,0,1,0,0.160714285714286,0,1,1,0,0.333333333333333,0,0,1,0,0
"4",1,0,0,0.602941176470588,0,0,0,1,1,0,0,0,0,0,0.676082422665287,1,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,1,0,1,0,0.142857142857143,0,1,1,0,0,0,1,0,0,0
"5",0,0,1,0.294117647058824,0,1,0,0,0,0,0,0,0,0,0.411836618177293,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.392857142857143,0,1,0,0,0,1,0,0,0,0
"6",1,0,0,0.470588235294118,0,1,0,0,0,0,1,0,0,0,0.518414069994966,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0.0892857142857143,0,1,0,0,0,0,1,0,0,0
"8",1,0,0,0.0735294117647059,0,0,0,1,0,1,0,0,0,0,0.473982087678802,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.666666666666667,0,1,0,0.285714285714286,0,1,0,0,0,0,1,0,0,1
"9",0,0,1,0.117647058823529,0,1,0,0,1,0,0,0,0,0,0.530317856483846,0,0,0,1,1,0,0,0,0.333333333333333,0,0,1,0,0,1,0,1,0,0.125,0,1,0,0,0,0,1,0,0,1
"10",1,0,0,0.294117647058824,0,0,0,1,0,0,0,0,0,1,0.899085402909714,0,0,0,0,0,1,0,0,0.333333333333333,0,1,0,1,0,0.666666666666667,0,1,0,0.357142857142857,0,1,1,0,0.333333333333333,0,0,1,1,1
"11",0,0,1,0.205882352941176,1,0,0,0,0,0,0,0,0,0,0.756198362743356,0,0,0,0,0,0,0,1,0.333333333333333,0,1,0,0,0,1,0,0,1,0.357142857142857,0,0,1,0,0.333333333333333,0,0,1,1,1
"12",1,0,0,0.117647058823529,0,1,0,0,0,0,0,0,0,0,0.742094943247029,0,0,0,0,0,0,1,0,0.333333333333333,0,1,0,0,0,0.333333333333333,0,1,0,0.232142857142857,0,1,1,0,0,0,1,0,0,0
"13",0,0,0,0.294117647058824,0,1,0,0,0,1,0,0,0,0,0.797739375620286,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.333333333333333,1,0,0,0.196428571428571,0,1,1,0,0,0,1,0,0,1
"14",1,0,0,0.117647058823529,0,1,0,0,0,0,0,0,0,0,0.382517382994085,0,0,0,0,1,0,0,0,0.666666666666667,1,0,0,0,0,0,0,1,0,0.107142857142857,0,1,0,0,0,0,1,0,0,0
"15",1,0,0,0.147058823529412,0,1,0,0,0,0,0,0,1,0,0.402303435959805,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.333333333333333,0,0,0,0.285714285714286,0,1,1,0,0,0,1,0,0,1
"17",0,1,0,0.161764705882353,0,1,0,0,0,0,0,1,0,0,0.104606117830367,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0714285714285714,0,1,0,0,0,0,1,0,0,1
"18",1,0,0,0.205882352941176,0,1,0,0,0,0,0,0,0,0,0.748956534834745,0,0,0,0,0,0,1,0,0.666666666666667,0,1,0,0,0,0.666666666666667,0,0,0,0.160714285714286,0,1,0,0,0,1,0,0,0,0
"19",0,0,1,0.470588235294118,0,0,0,1,0,0,0,0,0,0,0.801740907798245,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.333333333333333,0,0,0,0.107142857142857,1,0,1,0,0.333333333333333,0,1,0,0,1
"20",0,0,0,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.443049060718319,0,1,0,0,0,0,0,1,0.666666666666667,0,0,1,0,0,0,0,0,0,0.285714285714286,0,1,1,0,0,0,1,0,0,0
"21",0,0,1,0.647058823529412,0,0,0,1,0,0,1,0,0,0,0.618867489128639,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.5,0,1,1,0,0,0,1,0,0,1
"22",0,0,0,0.558823529411765,0,1,0,0,0,0,1,0,0,0,0.780650680299252,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0.666666666666667,0,1,0,0.196428571428571,0,1,1,0,0,0,0,1,0,1
"23",0,0,0,0.0882352941176471,0,0,0,1,0,1,0,0,0,0,0.498460587525814,0,0,0,1,1,0,0,0,0.333333333333333,1,0,0,1,0,0.666666666666667,0,0,0,0.142857142857143,0,1,0,0,0.333333333333333,0,1,0,0,0
"24",0,0,0,0.426470588235294,0,0,0,1,0,1,0,0,0,0,0.660584882043962,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0.0714285714285714,0,1,1,0,0.333333333333333,0,1,0,0,0
"25",0,0,0,0.647058823529412,0,1,0,0,0,0,0,0,1,0,0.662047023299089,0,0,0,0,1,0,0,0,0.666666666666667,1,0,0,0,0,1,1,0,0,0.0892857142857143,0,1,0,0,0,0,1,0,0,0
"26",1,0,0,0.117647058823529,0,0,0,1,0,0,0,0,0,0,0.522679542399367,0,1,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0,0.666666666666667,0,1,0,0.303571428571429,0,1,1,0,0,0,0,1,0,1
"27",0,0,0,0.25,0,1,0,0,0,0,1,0,0,0,0.46357272224734,0,0,0,0,0,1,0,0,0.666666666666667,1,0,0,0,0,0.333333333333333,0,0,0,0.107142857142857,0,1,1,0,0.333333333333333,0,1,0,0,1
"28",0,0,1,0.294117647058824,0,0,0,1,1,0,0,0,0,0,0.63699179737933,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.333333333333333,0,1,0,0.392857142857143,0,1,0,0,0.333333333333333,0,0,1,0,1
"29",0,0,1,0.117647058823529,0,1,0,0,0,1,0,0,0,0,0.454922498393123,0,0,0,0,0,1,0,0,0.666666666666667,0,1,0,0,0,0.333333333333333,0,0,0,0.0892857142857143,0,1,0,0,0,1,0,0,0,0
"32",0,0,0,0.117647058823529,0,0,0,1,0,0,0,0,0,0,0.497257589235807,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.333333333333333,1,0,0,0.196428571428571,0,1,1,0,0.333333333333333,0,1,0,0,0
"33",0,0,0,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.239781235404175,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.333333333333333,0,0,0,0.375,0,1,1,0,0,1,0,0,0,0
"34",1,0,0,0.117647058823529,0,1,0,0,0,0,0,0,0,1,0.218245295578853,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.333333333333333,0,1,0,0.196428571428571,0,1,1,0,0,0,1,0,0,0
"35",1,0,0,0.117647058823529,0,0,0,1,1,0,0,0,0,0,0.46671973811141,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.333333333333333,0,1,0,0.267857142857143,0,1,1,0,0.333333333333333,0,0,1,0,1
"36",1,0,0,0.117647058823529,0,1,0,0,0,0,1,0,0,0,0.426855650574337,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0535714285714286,0,1,1,0,0,0,1,0,0,1
"37",0,0,0,0.117647058823529,0,0,0,1,0,0,0,0,0,0,0.61367515448132,0,0,0,0,0,1,0,0,0.666666666666667,1,0,0,1,0,0.333333333333333,0,0,0,0.178571428571429,0,1,1,0,0.333333333333333,0,1,0,0,0
"38",1,0,0,0.647058823529412,0,1,0,0,0,0,0,0,0,0,0.819737706795848,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.333333333333333,0,1,0,0.0892857142857143,0,1,1,0,0,0,1,0,0,0
"40",0,0,1,0.161764705882353,0,1,0,0,0,1,0,0,0,0,0.554077497224091,0,0,0,0,1,0,0,0,0.333333333333333,0,1,0,0,0,0.666666666666667,1,0,0,0.142857142857143,0,0,1,0,0.333333333333333,1,0,0,0,0
"42",0,0,1,0.823529411764706,0,1,0,0,0,0,1,0,0,0,0.861214207206701,1,0,0,0,0,0,1,0,0.333333333333333,1,0,0,0,0,1,0,0,0,0.0357142857142857,0,1,1,0,0,0,1,0,0,1
"43",0,0,1,0.117647058823529,0,0,0,1,0,0,1,0,0,0,0.372424398090667,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0.333333333333333,0,0,0,0.339285714285714,0,1,1,0,0.333333333333333,0,1,0,0,1
