"","x"
"1","good"
"2","bad"
"3","good"
"4","good"
"5","good"
"6","good"
"7","good"
"8","bad"
"9","bad"
"10","good"
"11","good"
"12","bad"
"13","good"
"14","good"
"15","good"
"16","bad"
"17","good"
"18","good"
"19","bad"
"20","good"
"21","bad"
"22","bad"
"23","good"
"24","bad"
"25","good"
"26","good"
"27","good"
"28","good"
"29","bad"
"30","good"
"31","good"
"32","bad"
"33","good"
"34","good"
"35","good"
"36","good"
"37","bad"
"38","bad"
"39","good"
"40","good"
"41","good"
"42","good"
"43","bad"
"44","good"
"45","good"
"46","good"
"47","good"
"48","good"
"49","good"
"50","good"
"51","good"
"52","good"
"53","good"
"54","bad"
"55","good"
"56","bad"
"57","good"
"58","good"
"59","good"
"60","good"
"61","good"
"62","good"
"63","good"
"64","bad"
"65","good"
"66","good"
"67","good"
"68","bad"
"69","bad"
"70","good"
"71","bad"
"72","bad"
"73","good"
"74","good"
"75","good"
"76","good"
"77","good"
"78","bad"
"79","bad"
"80","bad"
"81","good"
"82","bad"
"83","good"
"84","bad"
"85","good"
"86","bad"
"87","bad"
"88","good"
"89","bad"
"90","good"
"91","bad"
"92","good"
"93","good"
"94","bad"
"95","bad"
"96","good"
"97","good"
"98","good"
"99","good"
"100","good"
"101","good"
"102","good"
"103","good"
"104","good"
"105","good"
"106","good"
"107","bad"
"108","bad"
"109","good"
"110","good"
"111","good"
"112","good"
"113","good"
"114","good"
"115","good"
"116","good"
"117","good"
"118","good"
"119","bad"
"120","bad"
"121","good"
"122","good"
"123","bad"
"124","good"
"125","good"
"126","good"
"127","good"
"128","bad"
"129","bad"
"130","bad"
"131","good"
"132","bad"
"133","good"
"134","bad"
"135","good"
"136","good"
"137","good"
"138","good"
"139","good"
"140","good"
"141","good"
"142","bad"
"143","good"
"144","good"
"145","bad"
"146","good"
"147","good"
"148","good"
"149","bad"
"150","good"
"151","good"
"152","good"
"153","good"
"154","good"
"155","good"
"156","good"
"157","bad"
"158","good"
"159","good"
"160","bad"
"161","good"
"162","good"
"163","good"
"164","good"
"165","good"
"166","bad"
"167","bad"
"168","good"
"169","good"
"170","good"
"171","bad"
"172","good"
"173","good"
"174","good"
"175","good"
"176","good"
"177","good"
"178","good"
"179","good"
"180","good"
"181","good"
"182","good"
"183","bad"
"184","good"
"185","good"
"186","bad"
"187","good"
"188","good"
"189","good"
"190","bad"
"191","good"
"192","bad"
"193","good"
"194","bad"
"195","good"
"196","good"
"197","bad"
"198","bad"
"199","good"
"200","good"
"201","good"
"202","good"
"203","bad"
"204","good"
"205","good"
"206","good"
"207","good"
"208","bad"
"209","bad"
"210","good"
"211","good"
"212","good"
"213","good"
"214","good"
"215","bad"
"216","bad"
"217","bad"
"218","bad"
"219","bad"
"220","good"
"221","good"
"222","good"
"223","good"
"224","good"
"225","good"
"226","good"
"227","good"
"228","good"
"229","good"
"230","good"
"231","good"
"232","bad"
"233","good"
"234","bad"
"235","good"
"236","good"
"237","bad"
"238","good"
"239","bad"
"240","good"
"241","bad"
"242","bad"
"243","good"
"244","good"
"245","good"
"246","good"
"247","good"
"248","good"
"249","bad"
"250","good"
"251","good"
"252","good"
"253","good"
"254","good"
"255","good"
"256","bad"
"257","bad"
"258","good"
"259","bad"
"260","good"
"261","good"
"262","bad"
"263","good"
"264","good"
"265","good"
"266","good"
"267","good"
"268","good"
"269","good"
"270","good"
"271","good"
"272","good"
"273","good"
"274","good"
"275","good"
"276","good"
"277","bad"
"278","good"
"279","good"
"280","good"
"281","good"
"282","good"
"283","good"
"284","bad"
"285","good"
"286","good"
"287","good"
"288","bad"
"289","good"
"290","good"
"291","good"
"292","bad"
"293","bad"
"294","good"
"295","bad"
"296","good"
"297","good"
"298","bad"
"299","good"
"300","good"
"301","good"
"302","good"
"303","good"
"304","bad"
"305","good"
"306","good"
"307","bad"
"308","good"
"309","good"
"310","good"
"311","bad"
"312","good"
"313","good"
"314","good"
"315","bad"
"316","bad"
"317","bad"
"318","good"
"319","good"
"320","bad"
"321","good"
"322","good"
"323","good"
"324","good"
"325","good"
"326","good"
"327","good"
"328","good"
"329","good"
"330","good"
"331","good"
"332","good"
"333","bad"
"334","bad"
"335","good"
"336","bad"
"337","bad"
"338","good"
"339","good"
"340","good"
"341","good"
"342","good"
"343","good"
"344","good"
"345","bad"
"346","good"
"347","good"
"348","good"
"349","bad"
"350","good"
"351","good"
"352","bad"
"353","good"
"354","good"
"355","bad"
"356","good"
"357","good"
"358","bad"
"359","good"
"360","good"
"361","bad"
"362","bad"
"363","good"
"364","bad"
"365","good"
"366","good"
"367","good"
"368","good"
"369","bad"
"370","good"
"371","good"
"372","good"
"373","good"
"374","bad"
"375","bad"
"376","good"
"377","good"
"378","good"
"379","bad"
"380","good"
"381","bad"
"382","good"
"383","good"
"384","good"
"385","bad"
"386","good"
"387","good"
"388","bad"
"389","good"
"390","good"
"391","bad"
"392","bad"
"393","bad"
"394","good"
"395","bad"
"396","good"
"397","good"
"398","good"
"399","bad"
"400","good"
"401","good"
"402","bad"
"403","bad"
"404","bad"
"405","bad"
"406","bad"
"407","good"
"408","bad"
"409","good"
"410","good"
"411","bad"
"412","good"
"413","good"
"414","bad"
"415","bad"
"416","good"
"417","good"
"418","good"
"419","good"
"420","good"
"421","good"
"422","good"
"423","good"
"424","good"
"425","bad"
"426","good"
"427","good"
"428","bad"
"429","good"
"430","bad"
"431","good"
"432","good"
"433","bad"
"434","good"
"435","bad"
"436","good"
"437","good"
"438","good"
"439","bad"
"440","bad"
"441","bad"
"442","bad"
"443","good"
"444","bad"
"445","good"
"446","bad"
"447","good"
"448","good"
"449","bad"
"450","good"
"451","good"
"452","bad"
"453","good"
"454","good"
"455","bad"
"456","good"
"457","good"
"458","good"
"459","good"
"460","bad"
"461","good"
"462","bad"
"463","good"
"464","good"
"465","bad"
"466","good"
"467","bad"
"468","good"
"469","good"
"470","good"
"471","bad"
"472","bad"
"473","good"
"474","good"
"475","good"
"476","bad"
"477","bad"
"478","bad"
"479","good"
"480","bad"
"481","bad"
"482","bad"
"483","good"
"484","bad"
"485","good"
"486","bad"
"487","bad"
"488","bad"
"489","good"
"490","good"
"491","bad"
"492","good"
"493","good"
"494","good"
"495","good"
"496","good"
"497","bad"
"498","good"
"499","good"
"500","good"
"501","good"
"502","bad"
"503","good"
"504","good"
"505","good"
"506","good"
"507","bad"
"508","good"
"509","good"
"510","bad"
"511","good"
"512","good"
"513","good"
"514","good"
"515","good"
"516","good"
"517","good"
"518","good"
"519","good"
"520","good"
"521","bad"
"522","good"
"523","good"
"524","good"
"525","good"
"526","good"
"527","good"
"528","good"
"529","good"
"530","good"
"531","good"
"532","good"
"533","bad"
"534","bad"
"535","good"
"536","good"
"537","good"
"538","bad"
"539","bad"
"540","good"
"541","good"
"542","good"
"543","good"
"544","bad"
"545","good"
"546","good"
"547","bad"
"548","good"
"549","good"
"550","good"
"551","good"
"552","good"
"553","good"
"554","bad"
"555","bad"
"556","good"
"557","bad"
"558","good"
"559","bad"
"560","bad"
"561","good"
"562","good"
"563","good"
"564","bad"
"565","good"
"566","good"
"567","bad"
"568","good"
"569","good"
"570","good"
"571","bad"
"572","good"
"573","good"
"574","good"
"575","good"
"576","good"
"577","good"
"578","bad"
"579","good"
"580","bad"
"581","good"
"582","good"
"583","bad"
"584","good"
"585","bad"
"586","bad"
"587","good"
"588","good"
"589","bad"
"590","bad"
"591","good"
"592","bad"
"593","good"
"594","good"
"595","good"
"596","bad"
"597","good"
"598","good"
"599","bad"
"600","good"
"601","good"
"602","bad"
"603","good"
"604","good"
"605","good"
"606","good"
"607","bad"
"608","good"
"609","good"
"610","bad"
"611","good"
"612","good"
"613","good"
"614","bad"
"615","good"
"616","bad"
"617","bad"
"618","good"
"619","good"
"620","good"
"621","bad"
"622","good"
"623","good"
"624","good"
"625","good"
